"","id","treat","refuse","wta","active"
"2","R_56zV4XAvGxEkqB7",0,0,22,2
"3","R_7WIGBU42Ih72yTb",1,0,1000,1
"4","R_73tAuVrKwIDx7O5",0,1,NA,2
"5","R_etX9zAQDQPQLEvr",0,0,100,2
"6","R_9YvwXX5nmImRFyd",1,1,NA,2
"7","R_8pEHaLp1dMxOlPT",0,0,75,1
"8","R_425YqnJojKPdyQZ",0,0,75,1
"9","R_9BnLZIPetYdU9BX",1,0,30,1
"10","R_2nRZ8pBl2YwmN6t",1,1,NA,2
"11","R_5d49ZS2kCcVRa0l",0,0,250,1
"12","R_20hf800zTFvVG4Z",1,1,NA,2
"13","R_dgvt232nnOKwt7v",1,1,NA,2
"14","R_3vH2g2eBynPyUND",0,0,75,2
"15","R_56yi8GgnzX0IUjH",1,1,NA,1
"16","R_2gxRazJGSu0wLI1",1,0,100,2
"17","R_bDVkQ8mKHXD6rWd",1,1,NA,1
"18","R_1AF8O1gBRxqRRbf",1,1,NA,1
"19","R_3JElE2YFvtJ6Q8B",1,0,100,2
"20","R_9Kv2TunaI6F3UY5",0,0,50,1
"21","R_2lecflHw0Ixjfgh",1,0,100,1
"22","R_0wYek9KUHFDuf3f",1,0,1500,2
"23","R_7ZDNO23T2ol3m6x",1,0,150,2
"24","R_5u2BXjufLbxBwIR",0,0,100,2
"25","R_5c0tRdMAT8AOYrX",0,0,50,2
"26","R_82H6QBnCb1B1Qe9",1,1,NA,1
"27","R_0Jm63k3mB89lgfr",1,1,NA,2
"28","R_9oiapo4IU3OHCpn",0,0,100,1
"29","R_77EhjPIg64oQjch",0,0,40,2
"30","R_bmbhltM5CItBhjv",0,0,75,2
"31","R_6xQigoXf4kmKK21",0,0,75,1
"32","R_6tL4FCxhVj1xxSB",0,0,90,2
"33","R_9mNM4FrIgNxJKwB",1,0,500,1
"34","R_bC2MCutYYMNTgPP",1,1,NA,2
"35","R_9mpHRsOvRdbgRkF",0,0,75,1
"36","R_238iEru3FjemqOh",0,0,65,1
"37","R_6JX4k3duSJxEsoR",1,1,NA,2
"38","R_5jRKF6I6dW9ODeB",1,0,200,1
"39","R_8kQsjwdS1leQY1D",1,0,250,2
"40","R_bBNZUIqmsnrtFzv",1,0,100,1
"41","R_efKhkeL2uPKNd1X",0,0,50,1
"42","R_6lr6GbpDKkie8MR",1,1,NA,1
"43","R_eEsCWijw7ge6PwF",0,0,100,1
"44","R_8HvChJcIbvBykEl",0,0,50,1
"45","R_7VrK6D0nfKNH4fX",0,0,200,1
"46","R_71cu5gy3ZhIMeoZ",1,1,NA,1
"47","R_aaQMqgFVGWXkgxn",1,0,250,1
"48","R_bHJsZ84mImtktGB",0,0,200,2
"49","R_cXZPgmVXQly5xEF",0,0,100,2
"50","R_2lCKk5U8A8xT7rD",0,0,85,2
"51","R_6h7WuThcoFvywol",1,1,NA,2
"52","R_0qFo7JFTt1xxU2N",1,0,100,1
"54","R_a2XiV7nk1bxL6aV",1,0,500,2
"55","R_5jPTrZMDDxm6gQd",1,1,NA,1
"56","R_dgSY1QC9Kwe35qd",1,0,50,1
"57","R_01lQkYxY5uHBUX3",1,1,NA,1
"58","R_ezZAuiEhJusiVWl",1,0,5000,2
"59","R_1YtZGqa51a3ay5n",1,1,NA,2
"60","R_3sHqdnjOFmeXTs9",0,1,NA,2
"61","R_beIF7jZVFPIMPbv",0,0,50,1
"62","R_8dZAQvqScytMcNn",1,0,300,1
"63","R_eE50pJoa9XH3MwZ",1,1,NA,2
"64","R_74h9aL9eu2rIP7n",0,0,0,1
"65","R_6R1PUjcukALpFg9",1,0,1000,1
"66","R_5j9ntG9aZLZ3MCF",1,1,NA,1
"67","R_56bSLpBMBZoJwRD",1,0,150,1
"68","R_3JemriyR2K3hK2p",0,0,200,1
"69","R_8wYBJDRYbShVI57",1,0,75,1
"70","R_6hUVjq2c1zVHibH",1,0,50,2
"71","R_8GQyarmf4LS2Q5L",1,0,200,1
"72","R_2l65n7hGBKcwFKJ",1,0,100,2
"73","R_cHiMshOfSaRGeC9",1,0,75,1
"74","R_4Zyn0pA7nQaAKOx",1,0,100,2
"75","R_9mINFmJ1rMqUvDD",0,0,40,1
"76","R_eni67ZNk2vlIoGp",0,0,100,1
"77","R_0jDVRNIXPOCdowt",0,0,100,1
"78","R_eFnjEU2nXUO6K9v",0,0,100,2
"79","R_da6CfNuBJysSIkt",1,1,NA,1
"80","R_1Y5uUhrcuH6CJG5",1,0,150,1
"81","R_863LVKeGAJT4G7H",1,1,NA,1
"82","R_50hSc6ZaZyz9uIJ",0,0,100,1
"83","R_5iHQYJUgvCTG3Jz",1,0,1000,1
"84","R_4MmZporUE6EhDql",0,1,NA,1
"85","R_b7XtUOI1MwKgdh3",1,0,100,2
"86","R_bmfvD4Pyz1Tihmt",0,0,100,1
"87","R_cND1RRuc3VGMcpT",1,1,NA,2
"88","R_djaQzM24e3CsDFb",1,0,150,2
"89","R_7Vek5O1bhGcSWEd",1,0,80,2
"90","R_6EGyst1cm6G6dZb",0,0,10,2
"96","R_39i9IwC0YMkM1qB",1,0,100,2
"98","R_e8oOcRjOw3v6czH",1,0,200,2
"106","R_71zJcFq7vinzlmR",1,1,NA,2
"107","R_3lTLfahiOehUqMt",1,0,75,2
"110","R_07W7je74TPkfgUZ",1,1,NA,2
"121","R_9WQlgJn0ufjYD2J",1,0,100,1
"123","R_elX7jH3xinxqcaV",0,0,25,2
"126","R_0iThjz8EqeZnsEZ",1,0,400,2
"131","R_bIOZcZPxATHcILP",1,0,50,2
"156","R_ea1XVJQk2Sdi9JH",1,0,100,2
